#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_3661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	7	23	4	0	0	0
ASV_3662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0
ASV_3663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
ASV_3664	11	0	0	0	0	0	0	0	0	0	19	0	0	15	0	0	0	0	0	0	10	0	0	14	0	0	0	0	0	0
ASV_3665	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	7	4	0	12	0	0	15	3	0	0	0	6	0
ASV_3666	11	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	21	0	0	0	5	0	6	0	0	0	14	0	2	0
ASV_3667	10	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	2	0	5	6	2	0	11	3	4	4	14	0
ASV_3668	9	0	0	0	0	7	0	2	6	0	5	0	7	0	0	0	0	0	8	0	2	3	5	0	2	2	0	2	5	5
ASV_3669	8	0	0	0	0	5	0	0	3	0	0	7	0	0	0	10	0	0	0	0	0	20	0	0	8	9	0	0	0	0
ASV_3670	6	0	0	12	0	0	0	0	0	0	3	0	2	13	4	0	0	2	7	0	0	0	0	12	0	2	3	0	2	0
ASV_3671	4	0	0	0	0	2	0	0	0	0	11	0	16	7	4	0	0	0	0	0	0	2	5	11	8	0	0	0	0	0
ASV_3672	3	0	0	0	0	0	0	0	9	0	0	0	13	0	0	2	0	2	0	0	18	0	11	0	0	0	0	12	0	0
ASV_3673	3	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	18	0	7	0	7	0	6	0	0	0	22	0	0	0
ASV_3674	3	0	0	0	0	4	0	0	0	0	0	0	4	8	2	4	0	0	0	7	3	0	12	5	5	3	0	0	0	9
ASV_3675	0	6	2	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	3	8	0	4	0	0	0	6	11	0	16
ASV_3676	0	4	0	0	32	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	18	0	0	0	7	0	0	0	0
