Feature ID	taxonomy
ASV_1193	Bacteria, Actinobacteriota, Thermoleophilia, Gaiellales, uncultured, uncultured
ASV_1194	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured
ASV_1195	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter
ASV_1196	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
ASV_1197	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas
ASV_1198	Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter
ASV_1199	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae
ASV_12	Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, uncultured, metagenome
ASV_120	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae, Candidatus_Xiphinematobacter
ASV_1200	Bacteria, Acidobacteriota, Acidobacteriae, Subgroup_2, Subgroup_2, Subgroup_2, uncultured_Acidobacteria
ASV_1201	Bacteria, Proteobacteria, Alphaproteobacteria, Reyranellales, Reyranellaceae, Reyranella
ASV_1202	Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Lysinibacillus
